# 2026-09-26 02:55:10 UTC (L) lock=/tmp/ts-spike/bench.lock GOEXPERIMENT= go test -run ^$ -bench ^Benchmark(RetryAfter|Backoff|Loopback)$ -benchmem -count=10 .
# load before:  02:55:10 up 1 day, 22:20,  3 users,  load average: 0.13, 0.95, 1.20 | kernel: 0.13 0.95 1.20 1/617 414898 (MAXLOAD=44, waited 0 x 60 s)
# base: 1ca60e1
go version go1.27.1 linux/amd64
[goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.dwarf5 goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc amd64.v1]
goos: linux
goarch: amd64
pkg: github.com/zchee/typesafe-sdk-go
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkBackoff/retry-1-44                 	12132051	        96.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1-44                 	12523804	        95.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1-44                 	12578251	        94.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13812958	        86.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13827205	        86.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13843983	        86.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13833690	        86.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13807165	        86.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13768609	        86.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13820923	        86.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13822628	        86.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-44                 	13848744	        86.76 ns/op	       0 B/op	       0 allocs/op
