# 2026-09-26 11:55:16 JST (M) lock=/private/tmp/claude-501/-Users-zchee-go-src-github-com-zchee-typesafe-sdk-go/40cb0f1f-c8a9-422c-a3e8-b3afc329b5cb/scratchpad/bench.lock GOEXPERIMENT=nosimd,noruntimesecret go test -run ^$ -bench ^Benchmark(RetryAfter|Backoff|Loopback)$ -benchmem -count=10 .
# load before: 11:55  up 4 days, 11:01, 1 user, load averages: 13.84 9.51 9.02 | kernel: { 13.84 9.51 9.02 } (MAXLOAD=16, waited 0 x 60 s)
# base: 1ca60e1
go version go1.27.1 darwin/arm64
[goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc arm64.v8.0]
goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go
cpu: Apple M3 Max
BenchmarkBackoff/retry-1-16                 	21721406	        55.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1-16                 	21976394	        54.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	22199850	        53.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	22422274	        54.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	20532373	        54.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	22583434	        54.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	22814030	        53.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	22943527	        52.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	22794638	        53.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	21826465	        53.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	22787170	        52.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-6-16                 	23066848	        52.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	22580211	        53.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	22894573	        52.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	22415852	        53.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	21730370	        55.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	22655989	        54.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	22212606	        54.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	22382630	        55.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	21885762	        57.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	21981460	        54.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-16              	22420441	        54.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	10444731	       115.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	10468071	       116.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	10305868	       115.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	10469064	       115.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	10074022	       118.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	10155463	       117.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	 9978307	       124.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	 9786879	       123.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	 9520802	       125.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-16                	 9437498	       122.9 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/zchee/typesafe-sdk-go	108.935s
# exit 0 at 2026-09-26 11:57:05 JST
# load after: 11:57  up 4 days, 11:03, 1 user, load averages: 15.34 11.26 9.75 | kernel: { 15.34 11.26 9.75 }
