# 2026-09-26 15:48:34 JST (M) lock=/private/tmp/claude-501/-Users-zchee-go-src-github-com-zchee-typesafe-sdk-go/40cb0f1f-c8a9-422c-a3e8-b3afc329b5cb/scratchpad/bench.lock GOEXPERIMENT=nosimd,noruntimesecret go test -run ^$ -bench ^BenchmarkSD2$ -benchmem -count=5 ./_spikes/w4.3/
# load before: 15:48  up 4 days, 14:54, 1 user, load averages: 5.14 6.08 7.10 | kernel: { 5.14 6.08 7.10 } (MAXLOAD=16, waited 0 x 60 s)
# base: d7a5968
go version go1.27.1 darwin/arm64
[goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc arm64.v8.0]
goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go/_spikes/w4.3
cpu: Apple M3 Max
BenchmarkSD2/result-20.json/3-reflect-set-16              	 1000000	      1108 ns/op	    2064 B/op	      21 allocs/op
BenchmarkSD2/result-20.json/3-reflect-set-16              	 1000000	      1113 ns/op	    2064 B/op	      21 allocs/op
BenchmarkSD2/result-20.json/3-reflect-set-16              	 1000000	      1116 ns/op	    2064 B/op	      21 allocs/op
BenchmarkSD2/result-20.json/3-reflect-set-16              	 1000000	      1131 ns/op	    2064 B/op	      21 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/0-DecodeAs-16         	 1684922	       717.7 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/0-DecodeAs-16         	 1689205	       711.3 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/0-DecodeAs-16         	 1689344	       708.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/0-DecodeAs-16         	 1700334	       704.9 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/0-DecodeAs-16         	 1698124	       707.1 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-16     	 1714598	       697.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-16     	 1714172	       698.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-16     	 1708573	       702.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-16     	 1721462	       693.7 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-16     	 1715470	       696.9 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-16    	 1861105	       647.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-16    	 1843884	       649.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-16    	 1844002	       652.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-16    	 1837664	       657.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-16    	 1833867	       653.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2h-unsafe-offset-heap-16         	 1756394	       683.8 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2h-unsafe-offset-heap-16         	 1793355	       675.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2h-unsafe-offset-heap-16         	 1756114	       674.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2h-unsafe-offset-heap-16         	 1746169	       686.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2h-unsafe-offset-heap-16         	 1000000	      1189 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-16                 	 1000000	      1271 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-16                 	 1573988	       755.9 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-16                 	 1587264	       756.1 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-16                 	 1583938	       758.5 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-16                 	 1604734	       747.5 ns/op	     304 B/op	       4 allocs/op
PASS
ok  	github.com/zchee/typesafe-sdk-go/_spikes/w4.3	89.904s
# exit 0 at 2026-09-26 15:50:04 JST
# load after: 15:50  up 4 days, 14:56, 1 user, load averages: 6.42 6.31 7.09 | kernel: { 6.42 6.31 7.09 }
