# 2026-09-26 06:42:42 UTC (L) lock=/tmp/ts-spike/bench.lock GOEXPERIMENT= go test -run ^$ -bench ^BenchmarkSD2$ -benchmem -count=5 ./_spikes/w4.3/
# load before:  06:42:42 up 2 days,  2:07,  2 users,  load average: 0.00, 0.02, 0.00 | kernel: 0.00 0.02 0.00 1/622 537514 (MAXLOAD=44, waited 0 x 60 s)
# base: 1839eb1
go version go1.27.1 linux/amd64
[goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.dwarf5 goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc amd64.v1]
goos: linux
goarch: amd64
pkg: github.com/zchee/typesafe-sdk-go/_spikes/w4.3
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-44     	 1248348	       961.4 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-44     	 1250221	       959.9 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/1-reflect-addr-44     	 1252320	       958.1 ns/op	     144 B/op	       1 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-44    	 1362282	       881.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-44    	 1362306	       880.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-44    	 1361413	       881.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-44    	 1363087	       880.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/2-unsafe-offset-44    	 1359483	       882.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-44      	 1000000	      1068 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-44      	 1000000	      1064 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-44      	 1000000	      1067 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-44      	 1000000	      1066 ns/op	     304 B/op	       4 allocs/op
BenchmarkSD2/structured-legend-flood-1k.json/3-reflect-set-44      	 1000000	      1066 ns/op	     304 B/op	       4 allocs/op
PASS
ok  	github.com/zchee/typesafe-sdk-go/_spikes/w4.3	70.831s
# exit 0 at 2026-09-26 06:43:54 UTC
# load after:  06:43:54 up 2 days,  2:08,  2 users,  load average: 1.04, 0.38, 0.13 | kernel: 1.04 0.38 0.13 1/621 538047
