# 2026-09-25 21:48:55 JST (M) lock=/private/tmp/claude-501/-Users-zchee-go-src-github-com-zchee-typesafe-sdk-go/c8084031-5323-4873-8c36-a19f65c9e6ff/scratchpad/bench.lock GOEXPERIMENT=nosimd,noruntimesecret go test -run ^$ -bench ^Benchmark(Prepare|FalsyJSON)$ -benchmem -count=5 .
# load before: 21:48  up 3 days, 20:54, 1 user, load averages: 8.39 7.74 10.12 | kernel: { 8.39 7.74 10.12 } (MAXLOAD=16, waited 0 x 60 s)
# base: 95f3e4c (production code as b227e5b)
go version go1.27.1 darwin/arm64
[goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc arm64.v8.0]
goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go
cpu: Apple M3 Max
BenchmarkPrepare/n8b-map-score-16               	    5300	    230832 ns/op	  514947 B/op	    1215 allocs/op
BenchmarkPrepare/n8b-map-score-16               	    5284	    241450 ns/op	  514947 B/op	    1215 allocs/op
BenchmarkPrepare/n8b-map-score-16               	    5317	    234388 ns/op	  514947 B/op	    1215 allocs/op
BenchmarkPrepare/n8b-map-score-16               	    4971	    239113 ns/op	  514947 B/op	    1215 allocs/op
BenchmarkFalsyJSON/array-16                     	  956577	      1213 ns/op	    2560 B/op	       6 allocs/op
BenchmarkFalsyJSON/array-16                     	 1000000	      1164 ns/op	    2560 B/op	       6 allocs/op
BenchmarkFalsyJSON/array-16                     	 1000000	      1182 ns/op	    2560 B/op	       6 allocs/op
BenchmarkFalsyJSON/array-16                     	 1000000	      1194 ns/op	    2560 B/op	       6 allocs/op
BenchmarkFalsyJSON/array-16                     	  988558	      1250 ns/op	    2560 B/op	       6 allocs/op
BenchmarkFalsyJSON/map-16                       	 1235380	       970.2 ns/op	    2432 B/op	       6 allocs/op
BenchmarkFalsyJSON/map-16                       	 1224531	       978.0 ns/op	    2432 B/op	       6 allocs/op
BenchmarkFalsyJSON/map-16                       	 1211137	      1001 ns/op	    2432 B/op	       6 allocs/op
BenchmarkFalsyJSON/map-16                       	 1000000	      1020 ns/op	    2432 B/op	       6 allocs/op
BenchmarkFalsyJSON/map-16                       	 1231435	       975.1 ns/op	    2432 B/op	       6 allocs/op
BenchmarkFalsyJSON/small-14B-16                 	42973016	        27.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkFalsyJSON/small-14B-16                 	42789392	        28.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkFalsyJSON/small-14B-16                 	41779698	        28.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkFalsyJSON/small-14B-16                 	43640990	        27.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkFalsyJSON/small-14B-16                 	42042076	        27.56 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/zchee/typesafe-sdk-go	83.723s
# exit 0 at 2026-09-25 21:50:19 JST
# load after: 21:50  up 3 days, 20:56, 1 user, load averages: 5.29 6.97 9.60 | kernel: { 5.29 6.97 9.60 }
