goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go/internal/codec
cpu: Apple M3 Max
BenchmarkEncodeState/ascii/6MiB/encode-16         	    2716	    451132 ns/op	13945.93 MB/s	    2387 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/6MiB/encode-16         	    2679	    441875 ns/op	14238.07 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/6MiB/encode-16         	    2751	    445982 ns/op	14106.95 MB/s	    2357 B/op	       1 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   15139	     79368 ns/op	79269.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14850	     81121 ns/op	77556.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14457	     82861 ns/op	75928.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14719	     81053 ns/op	77621.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14596	     82262 ns/op	76480.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14724	     81441 ns/op	77251.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14877	     80297 ns/op	78352.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14728	     82300 ns/op	76445.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14479	     83673 ns/op	75190.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/ascii/6MiB/check-16          	   14360	     83572 ns/op	75282.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2119942	       566.0 ns/op	1784.35 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2131909	       564.3 ns/op	1789.98 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2145950	       558.2 ns/op	1809.35 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2185336	       546.9 ns/op	1846.62 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2183355	       547.2 ns/op	1845.90 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2164882	       555.1 ns/op	1819.38 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2128850	       564.5 ns/op	1789.04 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2154114	       556.5 ns/op	1814.86 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2169577	       549.1 ns/op	1839.27 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/encode-16           	 2181373	       552.2 ns/op	1829.10 MB/s	      17 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2818413	       423.7 ns/op	2383.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2784414	       429.7 ns/op	2350.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2810533	       426.4 ns/op	2368.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2762569	       429.9 ns/op	2349.44 MB/s	       0 B/op	       0 allocs/op
