# lock: flock /tmp/ts-spike/bench.lock; acquired 2026-09-25 07:30:33 UTC
# host: (L) Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz, 44 vCPU
# load before: 0.34 0.08 0.03
# go version: go version go1.27.1 linux/amd64
# ToolTags: [goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.dwarf5 goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc amd64.v1]
# command: go test -run ^$ -bench . -benchmem -count=5 ./_spikes/s-d1/
goos: linux
goarch: amd64
pkg: github.com/zchee/typesafe-sdk-go/_spikes/s-d1
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkDecode/a1/deviation-lone-surrogate-44           	  253387	      4716 ns/op	  46.43 MB/s	    4665 B/op	      14 allocs/op
BenchmarkDecode/a1/score-flood-mini-44                   	   90476	     13209 ns/op	 113.18 MB/s	    4281 B/op	      21 allocs/op
BenchmarkDecode/a1/score-flood-mini-44                   	   90561	     13260 ns/op	 112.75 MB/s	    4285 B/op	      21 allocs/op
BenchmarkDecode/a1/score-flood-mini-44                   	   90067	     13232 ns/op	 112.98 MB/s	    4277 B/op	      21 allocs/op
BenchmarkDecode/a1/score-flood-mini-44                   	   90642	     13198 ns/op	 113.28 MB/s	    4284 B/op	      21 allocs/op
BenchmarkDecode/a1/score-flood-mini-44                   	   90346	     13212 ns/op	 113.15 MB/s	    4283 B/op	      21 allocs/op
BenchmarkDecode/a1/unknown-answer-type-44                	 1000000	      1170 ns/op	 123.91 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/unknown-answer-type-44                	 1000000	      1173 ns/op	 123.62 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/unknown-answer-type-44                	 1000000	      1173 ns/op	 123.59 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/unknown-answer-type-44                	 1000000	      1171 ns/op	 123.83 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/unknown-answer-type-44                	 1000000	      1173 ns/op	 123.66 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/no-answers-44                         	 2966221	       403.5 ns/op	 166.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a1/no-answers-44                         	 2974288	       404.4 ns/op	 165.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a1/no-answers-44                         	 2963977	       404.8 ns/op	 165.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a1/no-answers-44                         	 2965033	       403.4 ns/op	 166.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a1/no-answers-44                         	 2972008	       404.3 ns/op	 165.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a1/parity-big-exp-unknown-44             	 1000000	      1087 ns/op	 124.15 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/parity-big-exp-unknown-44             	 1000000	      1085 ns/op	 124.45 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/parity-big-exp-unknown-44             	 1000000	      1086 ns/op	 124.34 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/parity-big-exp-unknown-44             	 1000000	      1087 ns/op	 124.15 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a1/parity-big-exp-unknown-44             	 1000000	      1086 ns/op	 124.26 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/result-44                             	  378195	      3106 ns/op	 117.21 MB/s	     699 B/op	       4 allocs/op
BenchmarkDecode/a2/result-44                             	  389871	      3108 ns/op	 117.13 MB/s	     701 B/op	       4 allocs/op
BenchmarkDecode/a2/result-44                             	  383800	      3104 ns/op	 117.28 MB/s	     701 B/op	       4 allocs/op
BenchmarkDecode/a2/result-44                             	  386545	      3112 ns/op	 116.98 MB/s	     701 B/op	       4 allocs/op
BenchmarkDecode/a2/result-44                             	  389293	      3113 ns/op	 116.91 MB/s	     701 B/op	       4 allocs/op
BenchmarkDecode/a2/result-20-44                          	   60159	     19881 ns/op	 113.33 MB/s	    6141 B/op	      24 allocs/op
BenchmarkDecode/a2/result-20-44                          	   60548	     19896 ns/op	 113.24 MB/s	    6139 B/op	      24 allocs/op
BenchmarkDecode/a2/result-20-44                          	   60315	     19917 ns/op	 113.12 MB/s	    6154 B/op	      24 allocs/op
BenchmarkDecode/a2/result-20-44                          	   60463	     19863 ns/op	 113.43 MB/s	    6129 B/op	      24 allocs/op
BenchmarkDecode/a2/result-20-44                          	   60368	     19876 ns/op	 113.35 MB/s	    6132 B/op	      24 allocs/op
BenchmarkDecode/a2/escaped-names-44                      	  225912	      5274 ns/op	  91.21 MB/s	    1248 B/op	      10 allocs/op
BenchmarkDecode/a2/escaped-names-44                      	  227737	      5287 ns/op	  90.99 MB/s	    1250 B/op	      10 allocs/op
BenchmarkDecode/a2/escaped-names-44                      	  230132	      5284 ns/op	  91.02 MB/s	    1247 B/op	      10 allocs/op
BenchmarkDecode/a2/escaped-names-44                      	  226228	      5277 ns/op	  91.14 MB/s	    1247 B/op	      10 allocs/op
BenchmarkDecode/a2/escaped-names-44                      	  228302	      5274 ns/op	  91.20 MB/s	    1248 B/op	      10 allocs/op
BenchmarkDecode/a2/structured-legend-flood-1k-44         	    1999	    596472 ns/op	  96.26 MB/s	  217641 B/op	      91 allocs/op
BenchmarkDecode/a2/structured-legend-flood-1k-44         	    1983	    598317 ns/op	  95.97 MB/s	  217709 B/op	      91 allocs/op
BenchmarkDecode/a2/structured-legend-flood-1k-44         	    1978	    596064 ns/op	  96.33 MB/s	  217571 B/op	      91 allocs/op
BenchmarkDecode/a2/structured-legend-flood-1k-44         	    2014	    595511 ns/op	  96.42 MB/s	  217738 B/op	      91 allocs/op
BenchmarkDecode/a2/structured-legend-flood-1k-44         	    2022	    595410 ns/op	  96.43 MB/s	  217662 B/op	      91 allocs/op
BenchmarkDecode/a2/structured-legend-flood-10k-44        	     201	   5924707 ns/op	 104.04 MB/s	 2021607 B/op	     687 allocs/op
BenchmarkDecode/a2/structured-legend-flood-10k-44        	     201	   5930623 ns/op	 103.94 MB/s	 2023035 B/op	     687 allocs/op
BenchmarkDecode/a2/structured-legend-flood-10k-44        	     201	   5935419 ns/op	 103.85 MB/s	 2023821 B/op	     687 allocs/op
BenchmarkDecode/a2/structured-legend-flood-10k-44        	     201	   5936728 ns/op	 103.83 MB/s	 2024022 B/op	     687 allocs/op
BenchmarkDecode/a2/structured-legend-flood-10k-44        	     201	   5931625 ns/op	 103.92 MB/s	 2023614 B/op	     687 allocs/op
BenchmarkDecode/a2/type-last-44                          	  391564	      3117 ns/op	 116.78 MB/s	     701 B/op	       4 allocs/op
BenchmarkDecode/a2/type-last-44                          	  379268	      3117 ns/op	 116.76 MB/s	     699 B/op	       4 allocs/op
BenchmarkDecode/a2/type-last-44                          	  376686	      3120 ns/op	 116.67 MB/s	     702 B/op	       4 allocs/op
BenchmarkDecode/a2/type-last-44                          	  383305	      3114 ns/op	 116.88 MB/s	     701 B/op	       4 allocs/op
BenchmarkDecode/a2/type-last-44                          	  383803	      3120 ns/op	 116.68 MB/s	     702 B/op	       4 allocs/op
BenchmarkDecode/a2/escaped-member-names-44               	  172963	      6896 ns/op	  61.63 MB/s	    5258 B/op	      30 allocs/op
BenchmarkDecode/a2/escaped-member-names-44               	  174586	      6897 ns/op	  61.62 MB/s	    5254 B/op	      30 allocs/op
BenchmarkDecode/a2/escaped-member-names-44               	  175966	      6903 ns/op	  61.57 MB/s	    5260 B/op	      30 allocs/op
BenchmarkDecode/a2/escaped-member-names-44               	  173330	      6901 ns/op	  61.58 MB/s	    5257 B/op	      30 allocs/op
BenchmarkDecode/a2/escaped-member-names-44               	  173462	      6865 ns/op	  61.91 MB/s	    5257 B/op	      30 allocs/op
BenchmarkDecode/a2/structured-legend-44                  	  282144	      4337 ns/op	  50.04 MB/s	    4626 B/op	      12 allocs/op
BenchmarkDecode/a2/structured-legend-44                  	  274042	      4335 ns/op	  50.05 MB/s	    4623 B/op	      12 allocs/op
BenchmarkDecode/a2/structured-legend-44                  	  274501	      4329 ns/op	  50.13 MB/s	    4626 B/op	      12 allocs/op
BenchmarkDecode/a2/structured-legend-44                  	  274963	      4338 ns/op	  50.02 MB/s	    4625 B/op	      12 allocs/op
BenchmarkDecode/a2/structured-legend-44                  	  276465	      4329 ns/op	  50.13 MB/s	    4626 B/op	      12 allocs/op
BenchmarkDecode/a2/deviation-lone-surrogate-44           	  250740	      4738 ns/op	  46.22 MB/s	    4663 B/op	      14 allocs/op
BenchmarkDecode/a2/deviation-lone-surrogate-44           	  250800	      4733 ns/op	  46.27 MB/s	    4669 B/op	      14 allocs/op
BenchmarkDecode/a2/deviation-lone-surrogate-44           	  251809	      4709 ns/op	  46.51 MB/s	    4665 B/op	      14 allocs/op
BenchmarkDecode/a2/deviation-lone-surrogate-44           	  256243	      4716 ns/op	  46.44 MB/s	    4666 B/op	      14 allocs/op
BenchmarkDecode/a2/deviation-lone-surrogate-44           	  249480	      4730 ns/op	  46.30 MB/s	    4669 B/op	      14 allocs/op
BenchmarkDecode/a2/score-flood-mini-44                   	   92142	     12987 ns/op	 115.12 MB/s	    4267 B/op	      21 allocs/op
BenchmarkDecode/a2/score-flood-mini-44                   	   92744	     12967 ns/op	 115.29 MB/s	    4274 B/op	      21 allocs/op
BenchmarkDecode/a2/score-flood-mini-44                   	   91924	     13019 ns/op	 114.83 MB/s	    4269 B/op	      21 allocs/op
BenchmarkDecode/a2/score-flood-mini-44                   	   92146	     12993 ns/op	 115.06 MB/s	    4268 B/op	      21 allocs/op
BenchmarkDecode/a2/score-flood-mini-44                   	   92757	     12996 ns/op	 115.04 MB/s	    4269 B/op	      21 allocs/op
BenchmarkDecode/a2/unknown-answer-type-44                	 1000000	      1212 ns/op	 119.62 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/unknown-answer-type-44                	 1000000	      1212 ns/op	 119.67 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/unknown-answer-type-44                	 1000000	      1210 ns/op	 119.80 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/unknown-answer-type-44                	 1000000	      1211 ns/op	 119.77 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/unknown-answer-type-44                	 1000000	      1212 ns/op	 119.62 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/no-answers-44                         	 3035172	       395.4 ns/op	 169.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a2/no-answers-44                         	 3025963	       396.4 ns/op	 169.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a2/no-answers-44                         	 3033446	       396.3 ns/op	 169.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a2/no-answers-44                         	 3022840	       395.1 ns/op	 169.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a2/no-answers-44                         	 3036007	       395.7 ns/op	 169.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkDecode/a2/parity-big-exp-unknown-44             	 1000000	      1120 ns/op	 120.51 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/parity-big-exp-unknown-44             	 1000000	      1118 ns/op	 120.72 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/parity-big-exp-unknown-44             	 1000000	      1119 ns/op	 120.67 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/parity-big-exp-unknown-44             	 1000000	      1118 ns/op	 120.71 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/a2/parity-big-exp-unknown-44             	 1000000	      1118 ns/op	 120.71 MB/s	     146 B/op	       1 allocs/op
BenchmarkDecode/b/result-44                              	  356923	      3315 ns/op	 109.81 MB/s	     758 B/op	       5 allocs/op
BenchmarkDecode/b/result-44                              	  357610	      3310 ns/op	 109.96 MB/s	     759 B/op	       5 allocs/op
BenchmarkDecode/b/result-44                              	  363470	      3314 ns/op	 109.83 MB/s	     760 B/op	       5 allocs/op
BenchmarkDecode/b/result-44                              	  358785	      3314 ns/op	 109.83 MB/s	     760 B/op	       5 allocs/op
BenchmarkDecode/b/result-44                              	  364926	      3309 ns/op	 110.00 MB/s	     760 B/op	       5 allocs/op
BenchmarkDecode/b/result-20-44                           	   59832	     20090 ns/op	 112.14 MB/s	    6375 B/op	      25 allocs/op
BenchmarkDecode/b/result-20-44                           	   59715	     20125 ns/op	 111.95 MB/s	    6410 B/op	      25 allocs/op
BenchmarkDecode/b/result-20-44                           	   59727	     20095 ns/op	 112.12 MB/s	    6380 B/op	      25 allocs/op
BenchmarkDecode/b/result-20-44                           	   59678	     20089 ns/op	 112.15 MB/s	    6360 B/op	      25 allocs/op
